"","Age","Observations","Population","Share ever birthed","Population, ever birthed","TotalPopEverBirthed","Total pop.","ShareEverBirthedAllAges"
"29",46,2964,1953034.199525,0.838701754031437,1638013.208825,90575365.9288677,127283183.736,0.711605125440069
"30",47,3138,2115725.891575,0.84263845044825,1782791.98685,90575365.9288677,127283183.736,0.711605125440069
"31",48,3129,2099801.413975,0.842848734764244,1769814.965025,90575365.9288677,127283183.736,0.711605125440069
"32",49,3184,2144162.80315,0.827962729621984,1775286.88725,90575365.9288677,127283183.736,0.711605125440069
"33",50,3262,2095161.88705,0.837500267829244,1754698.64155,90575365.9288677,127283183.736,0.711605125440069
"34",51,3352,2169352.612925,0.837500267829244,1816833.39434076,90575365.9288677,127283183.736,0.711605125440069
"35",52,3402,2165922.308125,0.837500267829244,1813960.51315202,90575365.9288677,127283183.736,0.711605125440069
"36",53,3468,2203228.962075,0.837500267829244,1845204.84582696,90575365.9288677,127283183.736,0.711605125440069
"37",54,3523,2240465.73115,0.837500267829244,1876390.64990037,90575365.9288677,127283183.736,0.711605125440069
"38",55,3479,2199435.12555,0.837500267829244,1842027.50672117,90575365.9288677,127283183.736,0.711605125440069
"39",56,3489,2223053.48735,0.837500267829244,1861807.89105436,90575365.9288677,127283183.736,0.711605125440069
"40",57,3554,2237962.623125,0.837500267829244,1874294.29625903,90575365.9288677,127283183.736,0.711605125440069
"41",58,3577,2254657.126675,0.837500267829244,1888275.94745343,90575365.9288677,127283183.736,0.711605125440069
"42",59,3501,2185323.845725,0.837500267829244,1830209.30608832,90575365.9288677,127283183.736,0.711605125440069
"43",60,3571,2189090.756475,0.837500267829244,1833364.09485034,90575365.9288677,127283183.736,0.711605125440069
"44",61,3445,2110489.07755,0.837500267829244,1767535.16769882,90575365.9288677,127283183.736,0.711605125440069
"45",62,3317,2043203.11695,0.837500267829244,1711183.15767517,90575365.9288677,127283183.736,0.711605125440069
"46",63,3220,2014513.168675,0.837500267829244,1687155.31831085,90575365.9288677,127283183.736,0.711605125440069
"47",64,3152,1986386.1751,0.837500267829244,1663598.95365856,90575365.9288677,127283183.736,0.711605125440069
"48",65,3135,1898820.021525,0.837500267829244,1590262.27658672,90575365.9288677,127283183.736,0.711605125440069
"49",66,3022,1810207.112425,0.837500267829244,1516048.94148234,90575365.9288677,127283183.736,0.711605125440069
"50",67,3096,1826862.582675,0.837500267829244,1529997.90227754,90575365.9288677,127283183.736,0.711605125440069
"51",68,2779,1705663.18935,0.837500267829244,1428493.37790711,90575365.9288677,127283183.736,0.711605125440069
"52",69,2618,1567932.100825,0.837500267829244,1313143.55437901,90575365.9288677,127283183.736,0.711605125440069
"53",70,2577,1545912.671325,0.837500267829244,1294702.27627531,90575365.9288677,127283183.736,0.711605125440069
"54",71,2460,1484910.2752,0.837500267829244,1243612.7531824,90575365.9288677,127283183.736,0.711605125440069
"55",72,2270,1349910.2439,0.837500267829244,1130550.19081169,90575365.9288677,127283183.736,0.711605125440069
"56",73,2188,1316653.873525,0.837500267829244,1102697.9717156,90575365.9288677,127283183.736,0.711605125440069
"57",74,1864,1090172.3652,0.837500267829244,913019.647835041,90575365.9288677,127283183.736,0.711605125440069
"58",75,1866,1088482.607,0.837500267829244,911604.474889974,90575365.9288677,127283183.736,0.711605125440069
"59",76,1683,1002733.0744,0.837500267829244,839789.218371242,90575365.9288677,127283183.736,0.711605125440069
"60",77,1607,950660.6529,0.837500267829244,796178.551418474,90575365.9288677,127283183.736,0.711605125440069
"61",78,1522,929664.97455,0.837500267829244,778594.665177093,90575365.9288677,127283183.736,0.711605125440069
"62",79,1421,844924.426225,0.837500267829244,707624.433258908,90575365.9288677,127283183.736,0.711605125440069
"63",80,5676,3385895.781975,0.837500267829244,2835688.62424597,90575365.9288677,127283183.736,0.711605125440069
"64",85,6014,3613155.54905,0.837500267829244,3026018.7400381,90575365.9288677,127283183.736,0.711605125440069
