Notes,Year,Year Code,Month,Month Code,Fetal Deaths
,2021,2021,January,1,1746
,2021,2021,February,2,1555
,2021,2021,March,3,1675
,2021,2021,April,4,1757
,2021,2021,May,5,1726
,2021,2021,June,6,1790
,2021,2021,July,7,1747
,2021,2021,August,8,1925
,2021,2021,September,9,2005
,2021,2021,October,10,1735
,2021,2021,November,11,1674
,2021,2021,December,12,1770
